--------------------------------------------------------------------------------
Versions log started: 2025-08-06 00:01:29
--------------------------------------------------------------------------------
# packages in environment at C:\Users\User\miniconda3\envs\template:
#
# Name                           Version                Build                  Channel
_openmp_mutex                    4.5                    2_gnu                  conda-forge
anyio                            4.10.0                 pyhe01879c_0           conda-forge
argon2-cffi                      25.1.0                 pyhd8ed1ab_0           conda-forge
argon2-cffi-bindings             25.1.0                 py313h5ea7bf4_0        conda-forge
arrow                            1.3.0                  pyhd8ed1ab_1           conda-forge
asttokens                        3.0.0                  pyhd8ed1ab_1           conda-forge
async-lru                        2.0.5                  pyh29332c3_0           conda-forge
attrs                            25.3.0                 pyh71513ae_0           conda-forge
babel                            2.17.0                 pyhd8ed1ab_0           conda-forge
beautifulsoup4                   4.13.4                 pyha770c72_0           conda-forge
bleach                           6.2.0                  pyh29332c3_4           conda-forge
bleach-with-css                  6.2.0                  h82add2a_4             conda-forge
brotli                           1.1.0                  h2466b09_3             conda-forge
brotli-bin                       1.1.0                  h2466b09_3             conda-forge
brotli-python                    1.1.0                  py313h5813708_3        conda-forge
bzip2                            1.0.8                  h2466b09_7             conda-forge
ca-certificates                  2025.8.3               h4c7d964_0             conda-forge
cached-property                  1.5.2                  hd8ed1ab_1             conda-forge
cached_property                  1.5.2                  pyha770c72_1           conda-forge
cairo                            1.18.4                 h5782bbf_0             conda-forge
certifi                          2025.8.3               pyhd8ed1ab_0           conda-forge
cffi                             1.17.1                 py313ha7868ed_0        conda-forge
charset-normalizer               3.4.2                  pyhd8ed1ab_0           conda-forge
colorama                         0.4.6                  pyhd8ed1ab_1           conda-forge
comm                             0.2.3                  pyhe01879c_0           conda-forge
contourpy                        1.3.3                  py313hf069bd2_1        conda-forge
cpython                          3.13.5                 py313hd8ed1ab_102      conda-forge
cycler                           0.12.1                 pyhd8ed1ab_1           conda-forge
debugpy                          1.8.15                 py313h927ade5_0        conda-forge
decorator                        5.2.1                  pyhd8ed1ab_0           conda-forge
defusedxml                       0.7.1                  pyhd8ed1ab_0           conda-forge
double-conversion                3.3.1                  he0c23c2_0             conda-forge
exceptiongroup                   1.3.0                  pyhd8ed1ab_0           conda-forge
executing                        2.2.0                  pyhd8ed1ab_0           conda-forge
font-ttf-dejavu-sans-mono        2.37                   hab24e00_0             conda-forge
font-ttf-inconsolata             3.000                  h77eed37_0             conda-forge
font-ttf-source-code-pro         2.038                  h77eed37_0             conda-forge
font-ttf-ubuntu                  0.83                   h77eed37_3             conda-forge
fontconfig                       2.15.0                 h765892d_1             conda-forge
fonts-conda-ecosystem            1                      0                      conda-forge
fonts-conda-forge                1                      0                      conda-forge
fonttools                        4.59.0                 py313hd650c13_0        conda-forge
formulaic                        1.2.0                  py313hfa70ccb_2        conda-forge
fqdn                             1.5.1                  pyhd8ed1ab_1           conda-forge
freetype                         2.13.3                 h57928b3_1             conda-forge
gitdb                            4.0.12                 pyhd8ed1ab_0           conda-forge
gitpython                        3.1.45                 pyhff2d567_0           conda-forge
graphite2                        1.3.14                 hac47afa_1             conda-forge
h11                              0.16.0                 pyhd8ed1ab_0           conda-forge
h2                               4.2.0                  pyhd8ed1ab_0           conda-forge
harfbuzz                         11.3.3                 h8796e6f_0             conda-forge
hpack                            4.1.0                  pyhd8ed1ab_0           conda-forge
httpcore                         1.0.9                  pyh29332c3_0           conda-forge
httpx                            0.28.1                 pyhd8ed1ab_0           conda-forge
hyperframe                       6.1.0                  pyhd8ed1ab_0           conda-forge
icu                              75.1                   he0c23c2_0             conda-forge
idna                             3.10                   pyhd8ed1ab_1           conda-forge
importlib-metadata               8.7.0                  pyhe01879c_1           conda-forge
intel-openmp                     2024.2.1               h57928b3_1083          conda-forge
interface_meta                   1.3.0                  pyhd8ed1ab_1           conda-forge
